Line #,Name,Description,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","C0402C104K4RACTU","CAP CER 0.1UF 16V X7R 0402","C1","CMP-2008-02108-2","Up to date","KEMET","C0402C104K4RACTU","Volume Production","Mouser","80-C0402C104K4R","0.014","0.7"
"","C0402C104K4RACTU","CAP CER 0.1UF 16V X7R 0402","C2","CMP-2008-02108-2","Up to date","KEMET","C0402C104K4RACTU","Volume Production","Mouser","80-C0402C104K4R","0.014","0.7"
"","C0402C104K4RACTU","CAP CER 0.1UF 16V X7R 0402","C3","CMP-2008-02108-2","Up to date","KEMET","C0402C104K4RACTU","Volume Production","Mouser","80-C0402C104K4R","0.014","0.7"
"","C0402C104K4RACTU","CAP CER 0.1UF 16V X7R 0402","C4","CMP-2008-02108-2","Up to date","KEMET","C0402C104K4RACTU","Volume Production","Mouser","80-C0402C104K4R","0.014","0.7"
"","C0402C104K4RACTU","CAP CER 0.1UF 16V X7R 0402","C5","CMP-2008-02108-2","Up to date","KEMET","C0402C104K4RACTU","Volume Production","Mouser","80-C0402C104K4R","0.014","0.7"
"","GRM21BR61C475KA88L","Chip Capacitor, 4.7 uF, +/- 10%, 16 V, -55 to 85 degC, 0805 (2012 Metric), RoHS, Tape and Reel","C6","CMP-1662-00015-2","Up to date","Murata","GRM21BR61C475KA88L","End of Life","","","",""
"","GRM155R71C104KA88D","CAP CER 0.1UF 16V X7R 0402","C7","CMP-2100-03641-2","Up to date","Murata","GRM155R71C104KA88D","Not Recommended for New Design","Newark","94AK6874","0.015","1.05"
"","GRM155R71C104KA88D","CAP CER 0.1UF 16V X7R 0402","C8","CMP-2100-03641-2","Up to date","Murata","GRM155R71C104KA88D","Not Recommended for New Design","Newark","94AK6874","0.015","1.05"
"","GJM1555C1H6R8BB01D","Multi-Layer Ceramic Capacitor 6.8pF C0G  ±0.1pF 0402 Paper T/R","C9","CMP-2008-03772-2","Up to date","Murata","GJM1555C1H6R8BB01D","Volume Production","Arrow Electronics","GJM1555C1H6R8BB01D","0.005","0.15"
"","GJM1555C1H470JB01D","Multi-Layer Ceramic Capacitor 47pF C0G  ±5% 0402 Paper T/R","C10","CMP-06035-013708-1","Up to date","Murata","GJM1555C1H470JB01D","Volume Production","Newark","92AH8225","0.039","3.51"
"","GJM1555C1H470JB01D","Multi-Layer Ceramic Capacitor 47pF C0G  ±5% 0402 Paper T/R","C11","CMP-06035-013708-1","Up to date","Murata","GJM1555C1H470JB01D","Volume Production","Newark","92AH8225","0.039","3.51"
"","GRM155R72A102KA01D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, X7R, 15%, 10%, 100V","C12","CMP-1034-01633-3","Up to date","Murata","GRM155R72A102KA01D","Volume Production","Mouser","81-GRM155R72A102KA1D","0.015","0.6"
"","GRT1555C1H100JA02J","Multi-Layer Ceramic Capacitor 10pF 50V C0G ±5% 0402 Paper T/R","C13","CMP-06035-051459-1","Up to date","Murata","GRT1555C1H100JA02J","Volume Production","Mouser","81-GRT1555C1H100JA2J","0.018","0.72"
"","GRT1555C1H100JA02J","Multi-Layer Ceramic Capacitor 10pF 50V C0G ±5% 0402 Paper T/R","C14","CMP-06035-051459-1","Up to date","Murata","GRT1555C1H100JA02J","Volume Production","Mouser","81-GRT1555C1H100JA2J","0.018","0.72"
"","GJM1555C1H2R7BB01D","Multi-Layer Ceramic Capacitor 2.7pF C0G  ±0.1pF 0402 Paper T/R","C15","CMP-2008-03840-2","Up to date","Murata","GJM1555C1H2R7BB01D","Volume Production","Mouser","81-GJM1555C1H2R7BB01","0.055","1.1"
"","GJM1555C1H180JB01D","Multi-Layer Ceramic Capacitor 18pF C0G  ±5% 0402 Paper T/R","C16","CMP-2008-03807-2","Up to date","Murata","GJM1555C1H180JB01D","Volume Production","Mouser","81-GJM1555C1H180JB01","0.05","0.5"
"","GJM1555C1H470JB01D","Multi-Layer Ceramic Capacitor 47pF C0G  ±5% 0402 Paper T/R","C17","CMP-06035-013708-1","Up to date","Murata","GJM1555C1H470JB01D","Volume Production","Newark","92AH8225","0.039","3.51"
"","GJM1555C1H150JB01D","Multi-Layer Ceramic Capacitor 15pF C0G  ±5% 0402 Paper T/R","C18","CMP-2008-03804-2","Up to date","Murata","GJM1555C1H150JB01D","Volume Production","Mouser","81-GJM1555C1H150JB1D","0.045","0.9"
"","GJM1555C1H150JB01D","Multi-Layer Ceramic Capacitor 15pF C0G  ±5% 0402 Paper T/R","C19","CMP-2008-03804-2","Up to date","Murata","GJM1555C1H150JB01D","Volume Production","Mouser","81-GJM1555C1H150JB1D","0.045","0.9"
"","GJM1555C1H6R8BB01D","Multi-Layer Ceramic Capacitor 6.8pF C0G  ±0.1pF 0402 Paper T/R","C20","CMP-2008-03772-2","Up to date","Murata","GJM1555C1H6R8BB01D","Volume Production","Arrow Electronics","GJM1555C1H6R8BB01D","0.005","0.15"
"","GJM1555C1H470JB01D","Multi-Layer Ceramic Capacitor 47pF C0G  ±5% 0402 Paper T/R","C21","CMP-06035-013708-1","Up to date","Murata","GJM1555C1H470JB01D","Volume Production","Newark","92AH8225","0.039","3.51"
