Id,Designator,Footprint,Quantity,Designation,Supplier and ref,Column1,_1
1,"TP_SDA0,TP_PB6,TP_LCMD0,TP_XT1,TP_5,ORIGIN0,TP_PB5,TP_7,TP_USBVCC0,TP_DTR0,GND_TP1,TP_MOSI2,TP_LL0,TP_RESET0,TP_TXL0,TP_VUCAP0,TP_PWRIN0,TP_XT3,TP_USH0,TP_2,TP_GATE0,TP_1,TP_13,TP_5V0,TP_XT4,TP_11,TP_RESET2,TP_D-0,TP_5V1,TP_RXL0,TP_A4,TP_A5,TP_A2,TP_SCK2,TP_AREF0,TP_SCL0,TP_TX0,TP_ONL0,TP_4,TP_A3,TP_9,TP_XUSB0,TP_PB7,TP_XT2,TP_PB4,TP_12,TP_MISO2,TP_A0,TP_10,TP_D+0,TP_VIN0,TP_0,TP_3V3,TP_CMP0,TP_RX0,TP_UGND0,GND_TP0,TP_3,TP_6,TP_A1,TP_8",TP-SP,61,TP_SP,,,
2,L1,0805,1,BLM21,,,
3,IOH0,1X10,1,10x1F-H8.5,,,
4,"C6,C2,C1,C4,C7,C5,C10",C0603-ROUND,7,100n,,,
5,Y1,QS,1,16MHz,,,
6,"IOL0,POWER0",1X08,2,8x1F-H8.5,,,
7,ON0,CHIP-LED0805,1,GREEN,,,
8,"Z1,Z2",CT_CN0603,2,CG0603MLC-05E,,,
9,"PC1,PC2",PANASONIC_D,2,47u,,,
10,UNK_HOLE_2,dummyfp2,1,,,,
11,"RESET-EN0,GROUND0",SJ,2,,,,
12,U5,MSOP08,1,LMV358IDGKR,,,
13,"FD1,FD3,FD2",FIDUCIA-MOUNT,3,FIDUCIALMOUNT,,,
14,"RN2,RN4",CAY16,2,1K,,,
15,U1,SOT223,1,NCP1117ST50T3G,,,
16,"C3,C8",C0603-ROUND,2,1u,,,
17,RN1,CAY16,1,10K,,,
18,"D2,D3",MINIMELF,2,CD1206-S01575,,,
19,UNK_HOLE_0,dummyfp0,1,,,,
20,"R1,R2",R0603-ROUND,2,1M,,,
21,T1,SOT-23,1,FDN340P,,,
22,"RX0,L0,TX0",CHIP-LED0805,3,YELLOW,,,
23,F1,L1812,1,MF-MSMF050-2 500mA,,,
24,X1,POWERSUPPLY_DC-21MM,1,POWERSUPPLY_DC21MMX,,,
25,ZU4,DIL28-3,1,ATMEGA328P-PU,,,
26,Y2,RESONATOR,1,CSTCE16M0V53-R0 16MHZ,,,
27,L2,0805,1,10uH,,,
28,FRAME1,FRAME,1,DNP,,,
29,U3,MLF32,1,ATMEGA16U2-MU(R),,,
30,AD0,1X06,1,6x1F-H8.5,,,
31,UNK_HOLE_1,dummyfp1,1,,,,
32,D1,SMB,1,M7,,,
33,RN3,CAY16,1,22R,,,
34,"C11,C9",C0603-ROUND,2,22p,,,
35,"ICSP1,ICSP0",2X03,2,3x2 M,,,
36,X2,PN61729,1,USB-B_TH,,,
37,JP2,2X02,1,2x2 M - NM,,,
38,RESET0,TS42,1,TS42031-160R-TR-7260,,,
39,UNK_HOLE_3,dummyfp3,1,,,,
40,U2,SOT23-DBV,1,LP2985-33DBVR,,,
